Run,Escenario,Tamano,Probabilidad,Exito,Explorados,Pasos,Costo,Tiempo,Camino
1,1,100,0.92,1,63,64,63,0.00014257431030273438,"[(85, 80), (86, 80), (85, 80), (84, 80), (84, 81), (84, 82), (83, 82), (83, 81), (84, 81), (85, 81), (86, 81), (87, 81), (88, 81), (87, 81), (87, 82), (88, 82), (89, 82), (88, 82), (88, 83), (88, 84), (87, 84), (87, 83), (87, 84), (86, 84), (87, 84), (86, 84), (85, 84), (86, 84), (86, 85), (85, 85), (84, 85), (84, 86), (84, 87), (84, 88), (84, 87), (85, 87), (84, 87), (83, 87), (83, 88), (83, 89), (83, 88), (83, 89), (82, 89), (82, 88), (82, 87), (81, 87), (82, 87), (81, 87), (82, 87), (82, 86), (82, 85), (81, 85), (82, 85), (81, 85), (81, 86), (81, 87), (81, 86), (82, 86), (81, 86), (82, 86), (82, 85), (82, 84), (83, 84), (83, 83)]"
1,2,100,0.92,1,7,8,43,1.6689300537109375e-05,"[(85, 80), (85, 81), (84, 81), (85, 81), (84, 81), (84, 82), (84, 83), (83, 83)]"
2,1,100,0.92,0,1000,0,0,0.0019314289093017578,[]
2,2,100,0.92,0,1000,0,0,0.00170135498046875,[]
3,1,100,0.92,0,1000,0,0,0.0016870498657226562,[]
3,2,100,0.92,0,1000,0,0,0.0018591880798339844,[]
4,1,100,0.92,0,1000,0,0,0.0019106864929199219,[]
4,2,100,0.92,0,1000,0,0,0.0016741752624511719,[]
5,1,100,0.92,0,1000,0,0,0.001760244369506836,[]
5,2,100,0.92,0,1000,0,0,0.0019893646240234375,[]
6,1,100,0.92,0,1000,0,0,0.001748800277709961,[]
6,2,100,0.92,0,1000,0,0,0.001665353775024414,[]
7,1,100,0.92,0,1000,0,0,0.0016942024230957031,[]
7,2,100,0.92,0,1000,0,0,0.0024564266204833984,[]
8,1,100,0.92,0,1000,0,0,0.0017254352569580078,[]
8,2,100,0.92,0,1000,0,0,0.002460479736328125,[]
9,1,100,0.92,0,1000,0,0,0.0017852783203125,[]
9,2,100,0.92,0,1000,0,0,0.001810312271118164,[]
10,1,100,0.92,0,1000,0,0,0.0020673274993896484,[]
10,2,100,0.92,0,1000,0,0,0.0016968250274658203,[]
11,1,100,0.92,0,1000,0,0,0.0018830299377441406,[]
11,2,100,0.92,0,1000,0,0,0.0017910003662109375,[]
12,1,100,0.92,0,1000,0,0,0.0020322799682617188,[]
12,2,100,0.92,0,1000,0,0,0.0019664764404296875,[]
13,1,100,0.92,0,1000,0,0,0.0019659996032714844,[]
13,2,100,0.92,0,1000,0,0,0.0018458366394042969,[]
14,1,100,0.92,0,1000,0,0,0.0019669532775878906,[]
