Run,Escenario,Tamano,Probabilidad,Exito,Explorados,Pasos,Costo,Tiempo,Camino
1,1,100,0.92,1,43,6,5,9.560585021972656e-05,"[(85, 80), (84, 80), (83, 80), (83, 81), (83, 82), (83, 83)]"
1,2,100,0.92,1,43,6,23,7.2479248046875e-05,"[(85, 80), (84, 80), (83, 80), (83, 81), (83, 82), (83, 83)]"
2,1,100,0.92,1,7022,96,95,0.01371908187866211,"[(31, 89), (32, 89), (33, 89), (34, 89), (35, 89), (36, 89), (37, 89), (38, 89), (39, 89), (40, 89), (41, 89), (42, 89), (43, 89), (44, 89), (45, 89), (46, 89), (47, 89), (48, 89), (49, 89), (50, 89), (50, 88), (51, 88), (52, 88), (53, 88), (54, 88), (55, 88), (56, 88), (56, 87), (56, 86), (56, 85), (56, 84), (56, 83), (57, 83), (57, 82), (57, 81), (57, 80), (57, 79), (57, 78), (57, 77), (57, 76), (57, 75), (57, 74), (57, 73), (57, 72), (57, 71), (57, 70), (57, 69), (58, 69), (58, 68), (58, 67), (58, 66), (58, 65), (58, 64), (58, 63), (58, 62), (58, 61), (58, 60), (58, 59), (59, 59), (59, 58), (59, 57), (59, 56), (59, 55), (59, 54), (59, 53), (59, 52), (60, 52), (60, 51), (60, 50), (60, 49), (60, 48), (60, 47), (60, 46), (60, 45), (60, 44), (60, 43), (60, 42), (60, 41), (61, 41), (61, 40), (61, 39), (61, 38), (61, 37), (61, 36), (61, 35), (61, 34), (62, 34), (62, 33), (62, 32), (62, 31), (62, 30), (62, 29), (62, 28), (62, 27), (62, 26), (62, 25)]"
2,2,100,0.92,1,7022,96,374,0.012577295303344727,"[(31, 89), (32, 89), (33, 89), (34, 89), (35, 89), (36, 89), (37, 89), (38, 89), (39, 89), (40, 89), (41, 89), (42, 89), (43, 89), (44, 89), (45, 89), (46, 89), (47, 89), (48, 89), (49, 89), (50, 89), (50, 88), (51, 88), (52, 88), (53, 88), (54, 88), (55, 88), (56, 88), (56, 87), (56, 86), (56, 85), (56, 84), (56, 83), (57, 83), (57, 82), (57, 81), (57, 80), (57, 79), (57, 78), (57, 77), (57, 76), (57, 75), (57, 74), (57, 73), (57, 72), (57, 71), (57, 70), (57, 69), (58, 69), (58, 68), (58, 67), (58, 66), (58, 65), (58, 64), (58, 63), (58, 62), (58, 61), (58, 60), (58, 59), (59, 59), (59, 58), (59, 57), (59, 56), (59, 55), (59, 54), (59, 53), (59, 52), (60, 52), (60, 51), (60, 50), (60, 49), (60, 48), (60, 47), (60, 46), (60, 45), (60, 44), (60, 43), (60, 42), (60, 41), (61, 41), (61, 40), (61, 39), (61, 38), (61, 37), (61, 36), (61, 35), (61, 34), (62, 34), (62, 33), (62, 32), (62, 31), (62, 30), (62, 29), (62, 28), (62, 27), (62, 26), (62, 25)]"
3,1,100,0.92,1,8655,103,102,0.015778541564941406,"[(24, 58), (25, 58), (26, 58), (27, 58), (28, 58), (29, 58), (30, 58), (31, 58), (32, 58), (33, 58), (34, 58), (35, 58), (36, 58), (37, 58), (38, 58), (39, 58), (40, 58), (41, 58), (42, 58), (43, 58), (44, 58), (44, 59), (45, 59), (46, 59), (47, 59), (48, 59), (49, 59), (50, 59), (50, 60), (50, 61), (51, 61), (52, 61), (53, 61), (54, 61), (55, 61), (55, 62), (56, 62), (57, 62), (58, 62), (59, 62), (60, 62), (61, 62), (62, 62), (63, 62), (64, 62), (65, 62), (66, 62), (67, 62), (68, 62), (69, 62), (70, 62), (71, 62), (71, 63), (72, 63), (73, 63), (74, 63), (75, 63), (76, 63), (77, 63), (78, 63), (79, 63), (80, 63), (81, 63), (82, 63), (83, 63), (83, 64), (83, 65), (83, 66), (83, 67), (83, 68), (83, 69), (83, 70), (83, 71), (83, 72), (83, 73), (83, 74), (83, 75), (84, 75), (85, 75), (85, 76), (85, 77), (85, 78), (85, 79), (85, 80), (85, 81), (85, 82), (85, 83), (86, 83), (86, 84), (86, 85), (86, 86), (86, 87), (86, 88), (86, 89), (86, 90), (86, 91), (86, 92), (86, 93), (86, 94), (86, 95), (86, 96), (86, 97), (86, 98)]"
3,2,100,0.92,1,8655,103,660,0.014965057373046875,"[(24, 58), (25, 58), (26, 58), (27, 58), (28, 58), (29, 58), (30, 58), (31, 58), (32, 58), (33, 58), (34, 58), (35, 58), (36, 58), (37, 58), (38, 58), (39, 58), (40, 58), (41, 58), (42, 58), (43, 58), (44, 58), (44, 59), (45, 59), (46, 59), (47, 59), (48, 59), (49, 59), (50, 59), (50, 60), (50, 61), (51, 61), (52, 61), (53, 61), (54, 61), (55, 61), (55, 62), (56, 62), (57, 62), (58, 62), (59, 62), (60, 62), (61, 62), (62, 62), (63, 62), (64, 62), (65, 62), (66, 62), (67, 62), (68, 62), (69, 62), (70, 62), (71, 62), (71, 63), (72, 63), (73, 63), (74, 63), (75, 63), (76, 63), (77, 63), (78, 63), (79, 63), (80, 63), (81, 63), (82, 63), (83, 63), (83, 64), (83, 65), (83, 66), (83, 67), (83, 68), (83, 69), (83, 70), (83, 71), (83, 72), (83, 73), (83, 74), (83, 75), (84, 75), (85, 75), (85, 76), (85, 77), (85, 78), (85, 79), (85, 80), (85, 81), (85, 82), (85, 83), (86, 83), (86, 84), (86, 85), (86, 86), (86, 87), (86, 88), (86, 89), (86, 90), (86, 91), (86, 92), (86, 93), (86, 94), (86, 95), (86, 96), (86, 97), (86, 98)]"
4,1,100,0.92,1,4521,100,99,0.008011817932128906,"[(99, 1), (98, 1), (97, 1), (96, 1), (95, 1), (94, 1), (94, 2), (94, 3), (93, 3), (92, 3), (91, 3), (90, 3), (89, 3), (88, 3), (87, 3), (86, 3), (85, 3), (84, 3), (83, 3), (82, 3), (81, 3), (80, 3), (79, 3), (78, 3), (77, 3), (76, 3), (75, 3), (75, 4), (74, 4), (73, 4), (72, 4), (71, 4), (70, 4), (69, 4), (68, 4), (67, 4), (66, 4), (65, 4), (64, 4), (63, 4), (62, 4), (61, 4), (61, 5), (60, 5), (59, 5), (58, 5), (57, 5), (56, 5), (55, 5), (54, 5), (53, 5), (52, 5), (51, 5), (50, 5), (49, 5), (48, 5), (47, 5), (46, 5), (45, 5), (44, 5), (44, 4), (43, 4), (42, 4), (42, 5), (41, 5), (40, 5), (39, 5), (38, 5), (37, 5), (36, 5), (36, 6), (35, 6), (34, 6), (33, 6), (32, 6), (31, 6), (30, 6), (29, 6), (28, 6), (27, 6), (26, 6), (25, 6), (24, 6), (23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (18, 6), (17, 6), (16, 6), (15, 6), (15, 5), (14, 5), (13, 5), (12, 5), (11, 5), (10, 5), (9, 5), (9, 6)]"
4,2,100,0.92,1,4521,100,909,0.008785724639892578,"[(99, 1), (98, 1), (97, 1), (96, 1), (95, 1), (94, 1), (94, 2), (94, 3), (93, 3), (92, 3), (91, 3), (90, 3), (89, 3), (88, 3), (87, 3), (86, 3), (85, 3), (84, 3), (83, 3), (82, 3), (81, 3), (80, 3), (79, 3), (78, 3), (77, 3), (76, 3), (75, 3), (75, 4), (74, 4), (73, 4), (72, 4), (71, 4), (70, 4), (69, 4), (68, 4), (67, 4), (66, 4), (65, 4), (64, 4), (63, 4), (62, 4), (61, 4), (61, 5), (60, 5), (59, 5), (58, 5), (57, 5), (56, 5), (55, 5), (54, 5), (53, 5), (52, 5), (51, 5), (50, 5), (49, 5), (48, 5), (47, 5), (46, 5), (45, 5), (44, 5), (44, 4), (43, 4), (42, 4), (42, 5), (41, 5), (40, 5), (39, 5), (38, 5), (37, 5), (36, 5), (36, 6), (35, 6), (34, 6), (33, 6), (32, 6), (31, 6), (30, 6), (29, 6), (28, 6), (27, 6), (26, 6), (25, 6), (24, 6), (23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (18, 6), (17, 6), (16, 6), (15, 6), (15, 5), (14, 5), (13, 5), (12, 5), (11, 5), (10, 5), (9, 5), (9, 6)]"
5,1,100,0.92,1,6092,79,78,0.01115107536315918,"[(45, 13), (46, 13), (47, 13), (48, 13), (49, 13), (50, 13), (51, 13), (52, 13), (53, 13), (54, 13), (55, 13), (56, 13), (57, 13), (57, 14), (58, 14), (59, 14), (60, 14), (61, 14), (62, 14), (63, 14), (64, 14), (64, 15), (64, 16), (65, 16), (66, 16), (66, 17), (66, 18), (66, 19), (66, 20), (66, 21), (66, 22), (66, 23), (66, 24), (66, 25), (66, 26), (66, 27), (66, 28), (67, 28), (67, 29), (68, 29), (68, 30), (68, 31), (68, 32), (68, 33), (68, 34), (68, 35), (68, 36), (68, 37), (68, 38), (68, 39), (68, 40), (68, 41), (68, 42), (68, 43), (68, 44), (68, 45), (68, 46), (68, 47), (68, 48), (68, 49), (68, 50), (68, 51), (68, 52), (68, 53), (68, 54), (68, 55), (68, 56), (68, 57), (68, 58), (68, 59), (68, 60), (68, 61), (68, 62), (68, 63), (68, 64), (68, 65), (68, 66), (68, 67), (68, 68)]"
5,2,100,0.92,1,6092,79,285,0.012274742126464844,"[(45, 13), (46, 13), (47, 13), (48, 13), (49, 13), (50, 13), (51, 13), (52, 13), (53, 13), (54, 13), (55, 13), (56, 13), (57, 13), (57, 14), (58, 14), (59, 14), (60, 14), (61, 14), (62, 14), (63, 14), (64, 14), (64, 15), (64, 16), (65, 16), (66, 16), (66, 17), (66, 18), (66, 19), (66, 20), (66, 21), (66, 22), (66, 23), (66, 24), (66, 25), (66, 26), (66, 27), (66, 28), (67, 28), (67, 29), (68, 29), (68, 30), (68, 31), (68, 32), (68, 33), (68, 34), (68, 35), (68, 36), (68, 37), (68, 38), (68, 39), (68, 40), (68, 41), (68, 42), (68, 43), (68, 44), (68, 45), (68, 46), (68, 47), (68, 48), (68, 49), (68, 50), (68, 51), (68, 52), (68, 53), (68, 54), (68, 55), (68, 56), (68, 57), (68, 58), (68, 59), (68, 60), (68, 61), (68, 62), (68, 63), (68, 64), (68, 65), (68, 66), (68, 67), (68, 68)]"
