Run,Escenario,Tamano,Probabilidad,Exito,Explorados,Pasos,Costo,Tiempo,Camino
1,1,100,0.92,1,1738,48,47,0.0026602745056152344,"[(85, 80), (85, 81), (86, 81), (86, 82), (87, 82), (87, 83), (87, 84), (87, 85), (87, 86), (87, 87), (87, 88), (87, 89), (87, 90), (87, 91), (88, 91), (89, 91), (89, 92), (89, 93), (89, 94), (89, 95), (89, 96), (90, 96), (90, 97), (90, 98), (90, 99), (89, 99), (88, 99), (88, 98), (88, 97), (87, 97), (87, 96), (86, 96), (86, 95), (86, 94), (86, 93), (86, 92), (85, 92), (85, 91), (85, 90), (85, 89), (85, 88), (85, 87), (85, 86), (85, 85), (85, 84), (85, 83), (84, 83), (83, 83)]"
1,2,100,0.92,1,1738,48,155,0.0031647682189941406,"[(85, 80), (85, 81), (86, 81), (86, 82), (87, 82), (87, 83), (87, 84), (87, 85), (87, 86), (87, 87), (87, 88), (87, 89), (87, 90), (87, 91), (88, 91), (89, 91), (89, 92), (89, 93), (89, 94), (89, 95), (89, 96), (90, 96), (90, 97), (90, 98), (90, 99), (89, 99), (88, 99), (88, 98), (88, 97), (87, 97), (87, 96), (86, 96), (86, 95), (86, 94), (86, 93), (86, 92), (85, 92), (85, 91), (85, 90), (85, 89), (85, 88), (85, 87), (85, 86), (85, 85), (85, 84), (85, 83), (84, 83), (83, 83)]"
2,1,100,0.92,0,1913,0,0,0.00350189208984375,[]
2,2,100,0.92,0,1913,0,0,0.0028829574584960938,[]
3,1,100,0.92,0,2422,0,0,0.003828763961791992,[]
3,2,100,0.92,0,2422,0,0,0.0036325454711914062,[]
4,1,100,0.92,0,940,0,0,0.0015308856964111328,[]
4,2,100,0.92,0,940,0,0,0.0019469261169433594,[]
5,1,100,0.92,0,2889,0,0,0.00493931770324707,[]
5,2,100,0.92,0,2889,0,0,0.004290580749511719,[]
6,1,100,0.92,0,1634,0,0,0.0032417774200439453,[]
6,2,100,0.92,0,1634,0,0,0.0023725032806396484,[]
7,1,100,0.92,0,2399,0,0,0.004431486129760742,[]
7,2,100,0.92,0,2399,0,0,0.003397703170776367,[]
8,1,100,0.92,0,2505,0,0,0.0053746700286865234,[]
8,2,100,0.92,0,2505,0,0,0.0044519901275634766,[]
9,1,100,0.92,1,2289,95,94,0.00357818603515625,"[(77, 24), (77, 25), (77, 26), (77, 27), (78, 27), (78, 28), (78, 29), (78, 30), (78, 31), (78, 32), (78, 33), (78, 34), (78, 35), (78, 36), (78, 37), (78, 38), (78, 39), (78, 40), (78, 41), (78, 42), (78, 43), (78, 44), (78, 45), (79, 45), (79, 46), (79, 47), (79, 48), (79, 49), (79, 50), (79, 51), (79, 52), (79, 53), (78, 53), (77, 53), (77, 52), (77, 51), (77, 50), (77, 49), (77, 48), (77, 47), (77, 46), (76, 46), (76, 45), (76, 44), (76, 43), (76, 42), (76, 41), (76, 40), (76, 39), (76, 38), (75, 38), (75, 37), (75, 36), (74, 36), (73, 36), (73, 37), (73, 38), (73, 39), (73, 40), (73, 41), (73, 42), (73, 43), (73, 44), (73, 45), (73, 46), (73, 47), (73, 48), (73, 49), (73, 50), (73, 51), (73, 52), (73, 53), (73, 54), (73, 55), (73, 56), (73, 57), (72, 57), (72, 58), (71, 58), (71, 59), (71, 60), (71, 61), (70, 61), (70, 62), (69, 62), (68, 62), (68, 61), (68, 60), (67, 60), (66, 60), (65, 60), (65, 59), (64, 59), (64, 58), (63, 58)]"
9,2,100,0.92,1,2289,95,256,0.004006624221801758,"[(77, 24), (77, 25), (77, 26), (77, 27), (78, 27), (78, 28), (78, 29), (78, 30), (78, 31), (78, 32), (78, 33), (78, 34), (78, 35), (78, 36), (78, 37), (78, 38), (78, 39), (78, 40), (78, 41), (78, 42), (78, 43), (78, 44), (78, 45), (79, 45), (79, 46), (79, 47), (79, 48), (79, 49), (79, 50), (79, 51), (79, 52), (79, 53), (78, 53), (77, 53), (77, 52), (77, 51), (77, 50), (77, 49), (77, 48), (77, 47), (77, 46), (76, 46), (76, 45), (76, 44), (76, 43), (76, 42), (76, 41), (76, 40), (76, 39), (76, 38), (75, 38), (75, 37), (75, 36), (74, 36), (73, 36), (73, 37), (73, 38), (73, 39), (73, 40), (73, 41), (73, 42), (73, 43), (73, 44), (73, 45), (73, 46), (73, 47), (73, 48), (73, 49), (73, 50), (73, 51), (73, 52), (73, 53), (73, 54), (73, 55), (73, 56), (73, 57), (72, 57), (72, 58), (71, 58), (71, 59), (71, 60), (71, 61), (70, 61), (70, 62), (69, 62), (68, 62), (68, 61), (68, 60), (67, 60), (66, 60), (65, 60), (65, 59), (64, 59), (64, 58), (63, 58)]"
10,1,100,0.92,0,1742,0,0,0.0026628971099853516,[]
10,2,100,0.92,0,1742,0,0,0.002420186996459961,[]
11,1,100,0.92,0,1637,0,0,0.0026426315307617188,[]
11,2,100,0.92,0,1637,0,0,0.0026624202728271484,[]
12,1,100,0.92,1,150,92,91,0.0003097057342529297,"[(96, 31), (96, 32), (96, 33), (97, 33), (97, 34), (97, 35), (97, 36), (97, 37), (97, 38), (97, 39), (97, 40), (97, 41), (97, 42), (97, 43), (97, 44), (97, 45), (97, 46), (97, 47), (97, 48), (98, 48), (98, 49), (98, 50), (98, 51), (99, 51), (99, 52), (99, 53), (99, 54), (98, 54), (98, 55), (98, 56), (98, 57), (98, 58), (98, 59), (98, 60), (98, 61), (98, 62), (98, 63), (98, 64), (99, 64), (99, 65), (99, 66), (99, 67), (99, 68), (99, 69), (99, 70), (99, 71), (99, 72), (98, 72), (97, 72), (97, 73), (97, 74), (98, 74), (98, 75), (98, 76), (98, 77), (98, 78), (98, 79), (98, 80), (98, 81), (98, 82), (98, 83), (98, 84), (98, 85), (98, 86), (98, 87), (98, 88), (99, 88), (99, 89), (99, 90), (99, 91), (99, 92), (99, 93), (99, 94), (98, 94), (97, 94), (97, 95), (96, 95), (95, 95), (95, 94), (95, 93), (95, 92), (95, 91), (95, 90), (95, 89), (95, 88), (95, 87), (95, 86), (95, 85), (95, 84), (95, 83), (94, 83), (93, 83)]"
12,2,100,0.92,1,150,92,226,0.0002410411834716797,"[(96, 31), (96, 32), (96, 33), (97, 33), (97, 34), (97, 35), (97, 36), (97, 37), (97, 38), (97, 39), (97, 40), (97, 41), (97, 42), (97, 43), (97, 44), (97, 45), (97, 46), (97, 47), (97, 48), (98, 48), (98, 49), (98, 50), (98, 51), (99, 51), (99, 52), (99, 53), (99, 54), (98, 54), (98, 55), (98, 56), (98, 57), (98, 58), (98, 59), (98, 60), (98, 61), (98, 62), (98, 63), (98, 64), (99, 64), (99, 65), (99, 66), (99, 67), (99, 68), (99, 69), (99, 70), (99, 71), (99, 72), (98, 72), (97, 72), (97, 73), (97, 74), (98, 74), (98, 75), (98, 76), (98, 77), (98, 78), (98, 79), (98, 80), (98, 81), (98, 82), (98, 83), (98, 84), (98, 85), (98, 86), (98, 87), (98, 88), (99, 88), (99, 89), (99, 90), (99, 91), (99, 92), (99, 93), (99, 94), (98, 94), (97, 94), (97, 95), (96, 95), (95, 95), (95, 94), (95, 93), (95, 92), (95, 91), (95, 90), (95, 89), (95, 88), (95, 87), (95, 86), (95, 85), (95, 84), (95, 83), (94, 83), (93, 83)]"
13,1,100,0.92,0,3058,0,0,0.0052642822265625,[]
13,2,100,0.92,0,3058,0,0,0.00545954704284668,[]
