Run,Escenario,Tamano,Probabilidad,Exito,Explorados,Pasos,Costo,Tiempo,Camino
1,1,100,0.92,1,43,6,5,0.0001087188720703125,"[(85, 80), (84, 80), (83, 80), (83, 81), (83, 82), (83, 83)]"
1,2,100,0.92,1,66,6,23,0.00018143653869628906,"[(85, 80), (85, 81), (84, 81), (84, 82), (84, 83), (83, 83)]"
2,1,100,0.92,1,7003,96,95,0.021238327026367188,"[(31, 89), (32, 89), (32, 88), (32, 87), (32, 86), (33, 86), (33, 85), (33, 84), (33, 83), (34, 83), (34, 82), (34, 81), (34, 80), (35, 80), (35, 79), (36, 79), (36, 78), (36, 77), (37, 77), (37, 76), (37, 75), (37, 74), (37, 73), (37, 72), (37, 71), (37, 70), (37, 69), (37, 68), (37, 67), (37, 66), (37, 65), (37, 64), (37, 63), (37, 62), (37, 61), (37, 60), (37, 59), (37, 58), (37, 57), (37, 56), (37, 55), (37, 54), (37, 53), (37, 52), (37, 51), (37, 50), (37, 49), (38, 49), (38, 48), (39, 48), (40, 48), (40, 47), (40, 46), (41, 46), (41, 45), (41, 44), (41, 43), (41, 42), (41, 41), (42, 41), (42, 40), (42, 39), (42, 38), (42, 37), (42, 36), (42, 35), (42, 34), (42, 33), (43, 33), (43, 32), (43, 31), (43, 30), (43, 29), (43, 28), (43, 27), (44, 27), (45, 27), (46, 27), (47, 27), (48, 27), (49, 27), (50, 27), (51, 27), (52, 27), (53, 27), (53, 26), (54, 26), (55, 26), (56, 26), (56, 25), (57, 25), (58, 25), (59, 25), (60, 25), (61, 25), (62, 25)]"
2,2,100,0.92,1,5939,96,374,0.016975879669189453,"[(31, 89), (32, 89), (32, 88), (32, 87), (32, 86), (33, 86), (33, 85), (33, 84), (33, 83), (34, 83), (34, 82), (34, 81), (34, 80), (35, 80), (35, 79), (36, 79), (36, 78), (36, 77), (37, 77), (37, 76), (37, 75), (37, 74), (37, 73), (37, 72), (37, 71), (37, 70), (37, 69), (37, 68), (37, 67), (37, 66), (37, 65), (37, 64), (37, 63), (37, 62), (37, 61), (37, 60), (37, 59), (37, 58), (37, 57), (37, 56), (37, 55), (37, 54), (37, 53), (37, 52), (37, 51), (37, 50), (37, 49), (38, 49), (38, 48), (39, 48), (40, 48), (40, 47), (40, 46), (41, 46), (41, 45), (41, 44), (41, 43), (41, 42), (41, 41), (42, 41), (42, 40), (42, 39), (42, 38), (42, 37), (42, 36), (42, 35), (42, 34), (42, 33), (43, 33), (43, 32), (43, 31), (43, 30), (43, 29), (43, 28), (43, 27), (44, 27), (45, 27), (46, 27), (47, 27), (48, 27), (49, 27), (50, 27), (51, 27), (52, 27), (53, 27), (53, 26), (54, 26), (55, 26), (56, 26), (56, 25), (57, 25), (58, 25), (59, 25), (60, 25), (61, 25), (62, 25)]"
3,1,100,0.92,1,8633,103,102,0.024375200271606445,"[(24, 58), (24, 59), (24, 60), (24, 61), (24, 62), (24, 63), (24, 64), (24, 65), (25, 65), (25, 66), (25, 67), (25, 68), (25, 69), (25, 70), (25, 71), (25, 72), (25, 73), (25, 74), (25, 75), (25, 76), (25, 77), (25, 78), (25, 79), (25, 80), (25, 81), (25, 82), (25, 83), (25, 84), (26, 84), (26, 85), (26, 86), (27, 86), (27, 87), (27, 88), (27, 89), (28, 89), (29, 89), (30, 89), (31, 89), (32, 89), (33, 89), (34, 89), (35, 89), (36, 89), (37, 89), (38, 89), (39, 89), (40, 89), (41, 89), (42, 89), (43, 89), (44, 89), (45, 89), (46, 89), (47, 89), (48, 89), (49, 89), (50, 89), (51, 89), (52, 89), (53, 89), (54, 89), (55, 89), (56, 89), (57, 89), (58, 89), (59, 89), (60, 89), (61, 89), (62, 89), (63, 89), (63, 90), (64, 90), (65, 90), (66, 90), (67, 90), (67, 91), (67, 92), (67, 93), (68, 93), (69, 93), (70, 93), (71, 93), (72, 93), (73, 93), (73, 94), (73, 95), (73, 96), (74, 96), (75, 96), (76, 96), (77, 96), (78, 96), (79, 96), (80, 96), (81, 96), (81, 97), (82, 97), (83, 97), (84, 97), (84, 98), (85, 98), (86, 98)]"
3,2,100,0.92,1,8138,103,660,0.02296304702758789,"[(24, 58), (24, 59), (24, 60), (24, 61), (24, 62), (24, 63), (24, 64), (24, 65), (25, 65), (25, 66), (25, 67), (25, 68), (25, 69), (25, 70), (25, 71), (25, 72), (25, 73), (25, 74), (25, 75), (25, 76), (25, 77), (25, 78), (25, 79), (25, 80), (25, 81), (25, 82), (25, 83), (25, 84), (26, 84), (26, 85), (26, 86), (27, 86), (27, 87), (27, 88), (27, 89), (28, 89), (29, 89), (30, 89), (31, 89), (32, 89), (33, 89), (34, 89), (35, 89), (36, 89), (37, 89), (38, 89), (39, 89), (40, 89), (41, 89), (42, 89), (43, 89), (44, 89), (45, 89), (46, 89), (47, 89), (48, 89), (49, 89), (50, 89), (51, 89), (52, 89), (53, 89), (54, 89), (55, 89), (56, 89), (57, 89), (58, 89), (59, 89), (60, 89), (61, 89), (62, 89), (63, 89), (63, 90), (64, 90), (65, 90), (66, 90), (67, 90), (67, 91), (67, 92), (67, 93), (68, 93), (69, 93), (70, 93), (71, 93), (72, 93), (73, 93), (73, 94), (73, 95), (73, 96), (74, 96), (75, 96), (76, 96), (77, 96), (78, 96), (79, 96), (80, 96), (81, 96), (81, 97), (82, 97), (83, 97), (84, 97), (84, 98), (85, 98), (86, 98)]"
4,1,100,0.92,1,4520,100,99,0.011702299118041992,"[(99, 1), (98, 1), (97, 1), (96, 1), (95, 1), (94, 1), (94, 2), (94, 3), (93, 3), (92, 3), (91, 3), (90, 3), (89, 3), (88, 3), (87, 3), (86, 3), (85, 3), (84, 3), (83, 3), (82, 3), (81, 3), (80, 3), (79, 3), (78, 3), (77, 3), (76, 3), (75, 3), (75, 4), (74, 4), (73, 4), (72, 4), (71, 4), (70, 4), (69, 4), (68, 4), (67, 4), (66, 4), (65, 4), (64, 4), (63, 4), (62, 4), (61, 4), (61, 5), (60, 5), (59, 5), (58, 5), (57, 5), (56, 5), (55, 5), (54, 5), (53, 5), (52, 5), (51, 5), (50, 5), (49, 5), (48, 5), (47, 5), (46, 5), (45, 5), (44, 5), (44, 6), (43, 6), (43, 7), (42, 7), (41, 7), (40, 7), (39, 7), (38, 7), (37, 7), (36, 7), (35, 7), (34, 7), (33, 7), (32, 7), (31, 7), (30, 7), (29, 7), (28, 7), (27, 7), (26, 7), (26, 6), (25, 6), (24, 6), (23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (18, 6), (17, 6), (16, 6), (15, 6), (15, 5), (14, 5), (13, 5), (12, 5), (11, 5), (10, 5), (9, 5), (9, 6)]"
4,2,100,0.92,1,7955,100,909,0.02256917953491211,"[(99, 1), (99, 2), (99, 3), (98, 3), (97, 3), (96, 3), (95, 3), (94, 3), (93, 3), (92, 3), (91, 3), (90, 3), (89, 3), (88, 3), (87, 3), (86, 3), (85, 3), (84, 3), (83, 3), (82, 3), (81, 3), (80, 3), (80, 4), (79, 4), (78, 4), (77, 4), (76, 4), (75, 4), (74, 4), (73, 4), (72, 4), (71, 4), (70, 4), (69, 4), (68, 4), (67, 4), (67, 5), (66, 5), (65, 5), (64, 5), (63, 5), (62, 5), (61, 5), (60, 5), (59, 5), (59, 4), (58, 4), (57, 4), (56, 4), (55, 4), (54, 4), (53, 4), (52, 4), (51, 4), (50, 4), (49, 4), (48, 4), (47, 4), (46, 4), (45, 4), (44, 4), (43, 4), (42, 4), (42, 5), (41, 5), (41, 6), (40, 6), (39, 6), (38, 6), (37, 6), (36, 6), (35, 6), (34, 6), (33, 6), (32, 6), (31, 6), (30, 6), (29, 6), (28, 6), (27, 6), (26, 6), (25, 6), (24, 6), (23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (18, 6), (17, 6), (17, 5), (16, 5), (15, 5), (14, 5), (13, 5), (13, 6), (12, 6), (11, 6), (10, 6), (9, 6)]"
5,1,100,0.92,1,6078,79,78,0.015985965728759766,"[(45, 13), (45, 14), (45, 15), (45, 16), (45, 17), (45, 18), (45, 19), (45, 20), (45, 21), (45, 22), (45, 23), (45, 24), (46, 24), (46, 25), (46, 26), (46, 27), (46, 28), (47, 28), (47, 29), (47, 30), (47, 31), (48, 31), (48, 32), (48, 33), (49, 33), (49, 34), (49, 35), (49, 36), (49, 37), (49, 38), (49, 39), (49, 40), (49, 41), (49, 42), (49, 43), (49, 44), (49, 45), (50, 45), (50, 46), (50, 47), (50, 48), (50, 49), (50, 50), (50, 51), (50, 52), (50, 53), (50, 54), (50, 55), (51, 55), (51, 56), (52, 56), (52, 57), (52, 58), (52, 59), (52, 60), (52, 61), (52, 62), (52, 63), (52, 64), (52, 65), (53, 65), (53, 66), (53, 67), (54, 67), (55, 67), (56, 67), (57, 67), (58, 67), (59, 67), (59, 68), (60, 68), (61, 68), (62, 68), (63, 68), (64, 68), (65, 68), (66, 68), (67, 68), (68, 68)]"
5,2,100,0.92,1,4580,79,285,0.014737129211425781,"[(45, 13), (45, 14), (45, 15), (45, 16), (45, 17), (45, 18), (45, 19), (45, 20), (45, 21), (45, 22), (45, 23), (45, 24), (46, 24), (46, 25), (46, 26), (46, 27), (46, 28), (47, 28), (47, 29), (47, 30), (47, 31), (48, 31), (48, 32), (48, 33), (49, 33), (49, 34), (49, 35), (49, 36), (49, 37), (49, 38), (49, 39), (49, 40), (49, 41), (49, 42), (49, 43), (49, 44), (49, 45), (50, 45), (50, 46), (50, 47), (50, 48), (50, 49), (50, 50), (50, 51), (50, 52), (50, 53), (50, 54), (50, 55), (51, 55), (51, 56), (52, 56), (52, 57), (52, 58), (52, 59), (52, 60), (52, 61), (52, 62), (52, 63), (52, 64), (52, 65), (53, 65), (53, 66), (53, 67), (54, 67), (55, 67), (56, 67), (57, 67), (58, 67), (59, 67), (59, 68), (60, 68), (61, 68), (62, 68), (63, 68), (64, 68), (65, 68), (66, 68), (67, 68), (68, 68)]"
