algorithm_name,env_n,size,best_solution,H,states,time
random,0,4,"[1, 3, 0, 2]",0,8,0.00029468536376953125
HC,0,4,"[3, 0, 2, 1]",1,3,0.0037441253662109375
SA,0,4,"[2, 0, 3, 1]",0,95,0.0013840198516845703
GA,0,4,"[2, 0, 3, 1]",0,245,0.08324360847473145
random,1,4,"[2, 0, 3, 1]",0,153,0.0009210109710693359
HC,1,4,"[1, 2, 0, 3]",1,2,0.0024673938751220703
SA,1,4,"[1, 3, 0, 2]",0,12,0.0004055500030517578
GA,1,4,"[2, 0, 3, 1]",0,13,0.0064907073974609375
random,2,4,"[1, 3, 0, 2]",0,219,0.00121307373046875
HC,2,4,"[2, 0, 3, 1]",0,3,0.0033054351806640625
SA,2,4,"[2, 0, 3, 1]",0,2,0.00015115737915039062
GA,2,4,"[1, 3, 0, 2]",0,101,0.0406031608581543
random,3,4,"[1, 3, 0, 2]",0,37,0.00032639503479003906
HC,3,4,"[1, 3, 0, 2]",0,2,0.0024569034576416016
SA,3,4,"[1, 3, 0, 2]",0,31,0.0003857612609863281
GA,3,4,"[2, 0, 3, 1]",0,58,0.0205841064453125
random,4,4,"[2, 0, 3, 1]",0,19,0.0004277229309082031
HC,4,4,"[1, 3, 0, 2]",0,3,0.0030472278594970703
SA,4,4,"[1, 3, 0, 2]",0,56,0.0004818439483642578
GA,4,4,"[2, 0, 3, 1]",0,81,0.03578782081604004
random,5,4,"[2, 0, 3, 1]",0,35,0.0003485679626464844
HC,5,4,"[0, 2, 3, 1]",1,2,0.0025615692138671875
SA,5,4,"[1, 3, 0, 2]",0,2,0.00013327598571777344
GA,5,4,"[2, 0, 3, 1]",0,103,0.042871952056884766
random,6,4,"[1, 3, 0, 2]",0,76,0.0006716251373291016
HC,6,4,"[0, 3, 1, 2]",1,3,0.003007173538208008
SA,6,4,"[1, 3, 0, 2]",0,45,0.0005774497985839844
GA,6,4,"[1, 3, 0, 2]",0,16,0.007584810256958008
random,7,4,"[1, 3, 0, 2]",0,246,0.001295328140258789
HC,7,4,"[2, 0, 3, 1]",0,3,0.002794027328491211
SA,7,4,"[2, 0, 3, 1]",0,49,0.0005013942718505859
GA,7,4,"[1, 3, 0, 2]",0,17,0.008401870727539062
random,8,4,"[2, 0, 3, 1]",0,34,0.00033926963806152344
HC,8,4,"[3, 1, 0, 2]",1,3,0.0028693675994873047
SA,8,4,"[2, 0, 3, 1]",0,57,0.000553131103515625
GA,8,4,"[1, 3, 0, 2]",0,120,0.04305291175842285
random,9,4,"[1, 3, 0, 2]",0,22,0.00027871131896972656
HC,9,4,"[3, 0, 2, 1]",1,3,0.00286102294921875
SA,9,4,"[1, 3, 0, 2]",0,34,0.00038743019104003906
GA,9,4,"[1, 3, 0, 2]",0,168,0.059687137603759766
random,10,4,"[2, 0, 3, 1]",0,50,0.00039124488830566406
HC,10,4,"[0, 3, 1, 2]",1,2,0.0017666816711425781
SA,10,4,"[1, 3, 0, 2]",0,10,0.00013136863708496094
GA,10,4,"[1, 3, 0, 2]",0,20,0.009544849395751953
random,11,4,"[2, 0, 3, 1]",0,125,0.0007565021514892578
HC,11,4,"[0, 2, 3, 1]",1,2,0.0023360252380371094
SA,11,4,"[1, 3, 0, 2]",0,58,0.0004608631134033203
GA,11,4,"[1, 3, 0, 2]",0,32,0.014056921005249023
random,12,4,"[1, 3, 0, 2]",0,26,0.0002689361572265625
HC,12,4,"[1, 3, 2, 0]",1,2,0.0023610591888427734
SA,12,4,"[2, 0, 3, 1]",0,22,0.00022840499877929688
GA,12,4,"[2, 0, 3, 1]",0,44,0.019657373428344727
random,13,4,"[1, 3, 0, 2]",0,86,0.00057220458984375
HC,13,4,"[2, 0, 3, 1]",0,2,0.003374338150024414
SA,13,4,"[1, 3, 0, 2]",0,21,0.0003294944763183594
GA,13,4,"[2, 0, 3, 1]",0,10,0.004225254058837891
random,14,4,"[1, 3, 0, 2]",0,160,0.0008513927459716797
HC,14,4,"[3, 0, 2, 1]",1,3,0.00238800048828125
SA,14,4,"[1, 3, 0, 2]",0,90,0.0005624294281005859
GA,14,4,"[1, 3, 0, 2]",0,52,0.022484302520751953
random,15,4,"[1, 3, 0, 2]",0,410,0.0023453235626220703
HC,15,4,"[2, 0, 3, 1]",0,2,0.0027933120727539062
SA,15,4,"[2, 0, 3, 1]",0,22,0.0002446174621582031
GA,15,4,"[2, 0, 3, 1]",0,92,0.03219461441040039
random,16,4,"[1, 3, 0, 2]",0,316,0.001493692398071289
HC,16,4,"[0, 2, 3, 1]",1,3,0.003133058547973633
SA,16,4,"[2, 0, 3, 1]",0,4,0.0002009868621826172
GA,16,4,"[1, 3, 0, 2]",0,38,0.01613759994506836
random,17,4,"[1, 3, 0, 2]",0,35,0.0003097057342529297
HC,17,4,"[2, 0, 1, 3]",1,2,0.0030345916748046875
SA,17,4,"[2, 0, 3, 1]",0,14,0.0001761913299560547
GA,17,4,"[2, 0, 3, 1]",0,12,0.004995107650756836
random,18,4,"[2, 0, 3, 1]",0,79,0.0012011528015136719
HC,18,4,"[2, 0, 3, 1]",0,4,0.0029938220977783203
SA,18,4,"[2, 0, 3, 1]",0,93,0.0006737709045410156
GA,18,4,"[1, 3, 0, 2]",0,68,0.0255587100982666
random,19,4,"[1, 3, 0, 2]",0,409,0.0035593509674072266
HC,19,4,"[0, 2, 3, 1]",1,3,0.003262758255004883
SA,19,4,"[1, 3, 0, 2]",0,5,0.00017690658569335938
GA,19,4,"[1, 3, 0, 2]",0,15,0.00606846809387207
random,20,4,"[1, 3, 0, 2]",0,17,0.00030112266540527344
HC,20,4,"[3, 1, 0, 2]",1,1,0.0029916763305664062
SA,20,4,"[2, 0, 3, 1]",0,26,0.00044417381286621094
GA,20,4,"[1, 3, 0, 2]",0,103,0.03665661811828613
random,21,4,"[1, 3, 0, 2]",0,4,0.0001518726348876953
HC,21,4,"[0, 3, 1, 2]",1,3,0.0038340091705322266
SA,21,4,"[2, 0, 3, 1]",0,65,0.0008652210235595703
GA,21,4,"[1, 3, 0, 2]",0,19,0.007850885391235352
random,22,4,"[1, 3, 0, 2]",0,33,0.0003323554992675781
HC,22,4,"[0, 2, 1, 3]",2,1,0.0020241737365722656
SA,22,4,"[2, 0, 3, 1]",0,35,0.0003268718719482422
GA,22,4,"[2, 0, 3, 1]",0,107,0.03795599937438965
random,23,4,"[2, 0, 3, 1]",0,111,0.0007894039154052734
HC,23,4,"[3, 0, 2, 1]",1,3,0.002657651901245117
SA,23,4,"[2, 0, 3, 1]",0,77,0.0006043910980224609
GA,23,4,"[2, 0, 3, 1]",0,5,0.003185749053955078
random,24,4,"[1, 3, 0, 2]",0,208,0.0020613670349121094
HC,24,4,"[3, 1, 0, 2]",1,2,0.0029745101928710938
SA,24,4,"[1, 3, 0, 2]",0,55,0.0005211830139160156
GA,24,4,"[1, 3, 0, 2]",0,183,0.06500935554504395
random,25,4,"[1, 3, 0, 2]",0,65,0.0004448890686035156
HC,25,4,"[2, 0, 3, 1]",0,3,0.0034677982330322266
SA,25,4,"[2, 0, 3, 1]",0,18,0.0002684593200683594
GA,25,4,"[1, 3, 0, 2]",0,159,0.05481266975402832
random,26,4,"[2, 0, 3, 1]",0,490,0.003436565399169922
HC,26,4,"[3, 0, 2, 1]",1,2,0.0032808780670166016
SA,26,4,"[1, 3, 0, 2]",0,115,0.001245260238647461
GA,26,4,"[2, 0, 3, 1]",0,80,0.03161311149597168
random,27,4,"[1, 3, 0, 2]",0,23,0.0002918243408203125
HC,27,4,"[1, 3, 0, 2]",0,3,0.0036458969116210938
SA,27,4,"[2, 0, 3, 1]",0,24,0.00045180320739746094
GA,27,4,"[1, 3, 0, 2]",0,6,0.004321575164794922
random,28,4,"[2, 0, 3, 1]",0,173,0.0010399818420410156
HC,28,4,"[1, 3, 0, 2]",0,3,0.002470254898071289
SA,28,4,"[2, 0, 3, 1]",0,8,0.000148773193359375
GA,28,4,"[1, 3, 0, 2]",0,43,0.01712965965270996
random,29,4,"[2, 0, 3, 1]",0,179,0.0010576248168945312
HC,29,4,"[2, 0, 3, 1]",0,3,0.002748250961303711
SA,29,4,"[1, 3, 0, 2]",0,75,0.0010373592376708984
GA,29,4,"[2, 0, 3, 1]",0,37,0.012984752655029297
random,0,8,"[3, 6, 6, 2, 0, 4, 7, 5]",2,2000,0.023915529251098633
HC,0,8,"[1, 3, 0, 7, 4, 2, 5, 6]",1,4,0.006785869598388672
SA,0,8,"[4, 2, 7, 3, 6, 0, 5, 1]",0,288,0.005831480026245117
GA,0,8,"[1, 4, 6, 0, 2, 7, 5, 3]",0,55,0.05392169952392578
random,1,8,"[1, 5, 7, 2, 0, 3, 1, 4]",1,2000,0.02362513542175293
HC,1,8,"[0, 4, 1, 1, 6, 6, 3, 0]",3,4,0.007753849029541016
SA,1,8,"[6, 1, 3, 0, 7, 4, 2, 5]",0,140,0.003072500228881836
GA,1,8,"[4, 6, 1, 2, 5, 7, 0, 3]",1,1999,1.5548923015594482
random,2,8,"[1, 5, 7, 0, 3, 6, 4, 2]",2,2000,0.025558948516845703
HC,2,8,"[6, 3, 1, 7, 4, 0, 7, 5]",1,5,0.006466865539550781
SA,2,8,"[4, 1, 5, 0, 6, 3, 7, 2]",0,147,0.002859830856323242
GA,2,8,"[2, 7, 3, 3, 0, 4, 1, 5]",1,1999,1.4872291088104248
random,3,8,"[1, 2, 5, 1, 4, 7, 3, 6]",2,2000,0.020934104919433594
HC,3,8,"[3, 5, 0, 4, 1, 7, 6, 2]",1,5,0.007841348648071289
SA,3,8,"[2, 5, 7, 0, 4, 6, 1, 3]",0,529,0.008995771408081055
GA,3,8,"[5, 2, 0, 7, 4, 1, 3, 6]",0,660,0.5076959133148193
random,4,8,"[3, 6, 2, 5, 2, 0, 7, 3]",2,2000,0.02120232582092285
HC,4,8,"[1, 6, 2, 5, 7, 4, 0, 3]",0,5,0.007073640823364258
SA,4,8,"[4, 0, 7, 3, 1, 6, 2, 5]",0,1610,0.031352996826171875
GA,4,8,"[7, 4, 2, 0, 6, 3, 5, 2]",1,1999,1.4898605346679688
random,5,8,"[6, 0, 5, 1, 4, 7, 2, 2]",2,2000,0.023137569427490234
HC,5,8,"[0, 2, 7, 5, 3, 1, 6, 4]",1,4,0.00617527961730957
SA,5,8,"[4, 1, 5, 0, 6, 3, 7, 2]",0,778,0.014258146286010742
GA,5,8,"[7, 0, 4, 6, 1, 6, 2, 5]",1,1999,1.5453176498413086
random,6,8,"[2, 7, 3, 0, 2, 4, 5, 3]",3,2000,0.022901296615600586
HC,6,8,"[5, 0, 6, 4, 2, 7, 3, 3]",1,4,0.005948543548583984
SA,6,8,"[4, 0, 7, 3, 1, 6, 2, 5]",0,288,0.004550933837890625
GA,6,8,"[2, 5, 7, 1, 3, 0, 6, 4]",0,66,0.06032252311706543
random,7,8,"[1, 7, 4, 6, 3, 0, 2, 5]",1,2000,0.025081157684326172
HC,7,8,"[3, 3, 7, 4, 1, 5, 0, 6]",1,2,0.0051119327545166016
SA,7,8,"[3, 6, 4, 2, 0, 5, 7, 1]",0,206,0.0034508705139160156
GA,7,8,"[3, 6, 4, 7, 2, 0, 5, 1]",1,1999,1.5463545322418213
random,8,8,"[4, 1, 5, 0, 3, 6, 2, 2]",2,2000,0.023098230361938477
HC,8,8,"[4, 2, 1, 5, 7, 0, 6, 3]",1,4,0.0062541961669921875
SA,8,8,"[6, 3, 1, 4, 7, 0, 2, 5]",0,416,0.007675886154174805
GA,8,8,"[3, 5, 7, 1, 6, 0, 2, 4]",0,33,0.031822919845581055
random,9,8,"[0, 5, 1, 6, 0, 3, 7, 4]",1,2000,0.0839684009552002
HC,9,8,"[3, 7, 0, 2, 5, 7, 1, 4]",1,4,0.009402275085449219
SA,9,8,"[3, 5, 0, 4, 1, 7, 2, 6]",0,700,0.011877298355102539
GA,9,8,"[2, 2, 5, 7, 0, 3, 6, 4]",1,1999,1.5212070941925049
random,10,8,"[4, 6, 3, 0, 2, 7, 1, 6]",2,2000,0.02868032455444336
HC,10,8,"[2, 4, 6, 3, 0, 2, 7, 5]",1,4,0.005938529968261719
SA,10,8,"[3, 1, 6, 4, 0, 7, 5, 2]",0,566,0.010118961334228516
GA,10,8,"[1, 6, 0, 0, 4, 7, 5, 2]",1,1999,1.6195383071899414
random,11,8,"[3, 7, 5, 3, 1, 6, 4, 2]",2,2000,0.024666309356689453
HC,11,8,"[6, 0, 3, 1, 4, 7, 5, 2]",1,5,0.00812387466430664
SA,11,8,"[4, 6, 0, 2, 7, 5, 3, 1]",0,215,0.00431060791015625
GA,11,8,"[6, 3, 1, 7, 4, 0, 7, 5]",1,1999,1.52048659324646
random,12,8,"[5, 1, 4, 2, 7, 3, 6, 0]",2,2000,0.02338099479675293
HC,12,8,"[1, 4, 7, 0, 3, 5, 2, 5]",1,4,0.004608869552612305
SA,12,8,"[6, 0, 2, 7, 5, 3, 1, 4]",0,334,0.005395412445068359
GA,12,8,"[3, 6, 2, 7, 1, 4, 0, 5]",0,15,0.019571781158447266
random,13,8,"[2, 4, 7, 2, 0, 6, 1, 5]",2,2000,0.028311967849731445
HC,13,8,"[3, 3, 7, 2, 5, 1, 6, 0]",2,3,0.006255149841308594
SA,13,8,"[2, 5, 7, 0, 3, 6, 4, 1]",0,1788,0.03131103515625
