algorithm,size,runs,pct_solved,H_mean,H_std,time_mean_success,time_std_success,states_mean_success,states_std_success
random,4,30,100.0,0.0,0.0,0.0009257634480794271,0.000868088533384877,128.26666666666668,130.00690579948267
random,8,30,0.0,1.8333333333333333,0.45338235029118146,,,,
random,10,30,0.0,3.066666666666667,0.5120763831912405,,,,
HC,4,30,36.666666666666664,0.6666666666666666,0.53748384988657,0.0030088424682617188,0.0003807829505130996,2.8181818181818183,0.5749595745760689
HC,8,30,10.0,1.1333333333333333,0.6182412330330469,0.008188406626383463,0.0009255220963331163,6.0,0.816496580927726
HC,10,30,6.666666666666667,1.5666666666666667,0.8034647195462634,0.010531067848205566,0.0003629922866821289,6.0,0.0
SA,4,30,100.0,0.0,0.0,0.00046865145365397137,0.0003104560447792979,40.666666666666664,31.222143139480707
SA,8,30,96.66666666666667,0.03333333333333333,0.17950549357115012,0.009243126573233769,0.008350369902704657,509.7241379310345,464.53446452088474
SA,10,30,73.33333333333333,0.26666666666666666,0.4422166387140533,0.024201057173989036,0.013563102303478214,764.5909090909091,389.7735542000239
GA,4,30,100.0,0.0,0.0,0.025825055440266927,0.02039304316568541,68.23333333333333,59.54196465985613
GA,8,30,50.0,0.5,0.5,0.31502346992492675,0.42625979574066475,391.46666666666664,537.2737187773928
GA,10,30,26.666666666666668,0.7333333333333333,0.4422166387140533,0.4926477074623108,0.6542821519490581,445.25,601.3243197310417
