n,algorithm,seed,success,time,nodes,solution
4,backtracking,0,1,1.5497207641601562e-05,8,"[2, 0, 3, 1]"
4,backtracking,1,1,4.291534423828125e-06,4,"[1, 3, 0, 2]"
4,backtracking,2,1,3.5762786865234375e-06,4,"[2, 0, 3, 1]"
4,backtracking,3,1,1.0013580322265625e-05,8,"[2, 0, 3, 1]"
4,backtracking,4,1,9.059906005859375e-06,8,"[1, 3, 0, 2]"
4,backtracking,5,1,1.430511474609375e-05,12,"[2, 0, 3, 1]"
4,backtracking,6,1,1.4066696166992188e-05,12,"[2, 0, 3, 1]"
4,backtracking,7,1,4.0531158447265625e-06,4,"[2, 0, 3, 1]"
4,backtracking,8,1,1.2874603271484375e-05,8,"[1, 3, 0, 2]"
4,backtracking,9,1,2.86102294921875e-06,4,"[1, 3, 0, 2]"
4,backtracking,10,1,9.298324584960938e-06,8,"[2, 0, 3, 1]"
4,backtracking,11,1,4.76837158203125e-06,4,"[2, 0, 3, 1]"
4,backtracking,12,1,1.430511474609375e-05,12,"[2, 0, 3, 1]"
4,backtracking,13,1,8.821487426757812e-06,8,"[2, 0, 3, 1]"
4,backtracking,14,1,3.5762786865234375e-06,4,"[1, 3, 0, 2]"
4,backtracking,15,1,2.86102294921875e-06,4,"[2, 0, 3, 1]"
4,backtracking,16,1,2.86102294921875e-06,4,"[2, 0, 3, 1]"
4,backtracking,17,1,1.430511474609375e-05,12,"[1, 3, 0, 2]"
4,backtracking,18,1,3.337860107421875e-06,4,"[2, 0, 3, 1]"
4,backtracking,19,1,8.344650268554688e-06,8,"[1, 3, 0, 2]"
4,backtracking,20,1,1.5735626220703125e-05,12,"[2, 0, 3, 1]"
4,backtracking,21,1,9.059906005859375e-06,8,"[1, 3, 0, 2]"
4,backtracking,22,1,1.0013580322265625e-05,8,"[1, 3, 0, 2]"
4,backtracking,23,1,4.0531158447265625e-06,4,"[2, 0, 3, 1]"
4,backtracking,24,1,3.0994415283203125e-06,4,"[1, 3, 0, 2]"
4,backtracking,25,1,8.58306884765625e-06,8,"[2, 0, 3, 1]"
4,backtracking,26,1,8.821487426757812e-06,8,"[1, 3, 0, 2]"
4,backtracking,27,1,3.5762786865234375e-06,4,"[1, 3, 0, 2]"
4,backtracking,28,1,1.3589859008789062e-05,12,"[1, 3, 0, 2]"
4,backtracking,29,1,8.58306884765625e-06,8,"[1, 3, 0, 2]"
4,forward_checking,0,1,3.0040740966796875e-05,6,"[2, 0, 3, 1]"
4,forward_checking,1,1,1.1920928955078125e-05,4,"[1, 3, 0, 2]"
4,forward_checking,2,1,1.049041748046875e-05,4,"[2, 0, 3, 1]"
4,forward_checking,3,1,1.7404556274414062e-05,6,"[2, 0, 3, 1]"
4,forward_checking,4,1,1.6450881958007812e-05,6,"[1, 3, 0, 2]"
4,forward_checking,5,1,2.3603439331054688e-05,8,"[2, 0, 3, 1]"
4,forward_checking,6,1,2.3365020751953125e-05,8,"[2, 0, 3, 1]"
4,forward_checking,7,1,8.344650268554688e-06,4,"[2, 0, 3, 1]"
4,forward_checking,8,1,1.5974044799804688e-05,6,"[1, 3, 0, 2]"
4,forward_checking,9,1,8.106231689453125e-06,4,"[1, 3, 0, 2]"
4,forward_checking,10,1,1.5735626220703125e-05,6,"[2, 0, 3, 1]"
4,forward_checking,11,1,8.344650268554688e-06,4,"[2, 0, 3, 1]"
4,forward_checking,12,1,2.288818359375e-05,8,"[2, 0, 3, 1]"
4,forward_checking,13,1,1.5974044799804688e-05,6,"[2, 0, 3, 1]"
4,forward_checking,14,1,1.0013580322265625e-05,4,"[1, 3, 0, 2]"
4,forward_checking,15,1,8.106231689453125e-06,4,"[2, 0, 3, 1]"
4,forward_checking,16,1,8.106231689453125e-06,4,"[2, 0, 3, 1]"
4,forward_checking,17,1,2.3126602172851562e-05,8,"[1, 3, 0, 2]"
4,forward_checking,18,1,7.867813110351562e-06,4,"[2, 0, 3, 1]"
4,forward_checking,19,1,1.5735626220703125e-05,6,"[1, 3, 0, 2]"
4,forward_checking,20,1,2.2649765014648438e-05,8,"[2, 0, 3, 1]"
4,forward_checking,21,1,1.52587890625e-05,6,"[1, 3, 0, 2]"
4,forward_checking,22,1,1.5497207641601562e-05,6,"[1, 3, 0, 2]"
4,forward_checking,23,1,8.344650268554688e-06,4,"[2, 0, 3, 1]"
4,forward_checking,24,1,1.0728836059570312e-05,4,"[1, 3, 0, 2]"
4,forward_checking,25,1,1.5497207641601562e-05,6,"[2, 0, 3, 1]"
4,forward_checking,26,1,1.7404556274414062e-05,6,"[1, 3, 0, 2]"
4,forward_checking,27,1,7.867813110351562e-06,4,"[1, 3, 0, 2]"
4,forward_checking,28,1,2.2649765014648438e-05,8,"[1, 3, 0, 2]"
4,forward_checking,29,1,1.5974044799804688e-05,6,"[1, 3, 0, 2]"
8,backtracking,0,1,0.00010633468627929688,35,"[3, 0, 4, 7, 5, 2, 6, 1]"
8,backtracking,1,1,0.00012183189392089844,42,"[6, 3, 1, 4, 7, 0, 2, 5]"
8,backtracking,2,1,0.00011992454528808594,40,"[2, 0, 6, 4, 7, 1, 3, 5]"
8,backtracking,3,1,3.314018249511719e-05,14,"[4, 1, 3, 6, 2, 7, 5, 0]"
8,backtracking,4,1,8.988380432128906e-05,30,"[3, 0, 4, 7, 5, 2, 6, 1]"
8,backtracking,5,1,7.915496826171875e-05,28,"[6, 2, 7, 1, 4, 0, 5, 3]"
8,backtracking,6,1,0.0004596710205078125,150,"[7, 2, 0, 5, 1, 4, 6, 3]"
8,backtracking,7,1,1.1444091796875e-05,8,"[2, 5, 7, 0, 4, 6, 1, 3]"
8,backtracking,8,1,8.320808410644531e-05,25,"[0, 6, 3, 5, 7, 1, 4, 2]"
